INFO 2024-03-28 22:40:14,590 :114 - Logger initialized successfully.
INFO 2024-03-28 22:41:20,750 :115 - device: cpu
INFO 2024-03-28 22:54:54,431 - device: cpu
INFO 2024-03-28 23:30:56,267 - Epoch 1: loss =  0.99349
INFO 2024-03-31 11:09:32,241 - device: cpu
INFO 2024-03-31 11:17:28,236 - device: cpu
INFO 2024-04-01 00:10:28,811 - device: cpu
INFO 2024-04-07 20:52:07,337 - device: cuda
INFO 2024-04-07 20:52:40,072 - Epoch 1: loss =  0.27850, accuracy =  0.76423
WARNING 2024-04-07 20:52:40,987 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:40,992 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:40,996 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:41,000 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:41,005 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:41,009 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:41,013 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:41,018 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:41,022 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:41,026 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:41,030 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:41,034 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:41,038 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:41,042 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:52:41,047 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
