INFO 2024-04-09 16:31:55,494 - device: cuda
INFO 2024-04-09 16:35:20,996 - Epoch 1: loss =  235820.07812
INFO 2024-04-09 16:38:46,568 - Epoch 2: loss =  199902.57812
INFO 2024-04-09 16:42:11,809 - Epoch 3: loss =  54051.19141
INFO 2024-04-09 16:45:36,959 - Epoch 4: loss =  34436.32812
INFO 2024-04-09 16:49:02,335 - Epoch 5: loss =  36994.73438
INFO 2024-04-09 16:49:02,686 - Model saved.
INFO 2024-04-09 16:52:28,035 - Epoch 6: loss =  34223.52344
INFO 2024-04-09 16:55:53,626 - Epoch 7: loss =  34332.62109
INFO 2024-04-09 16:59:19,027 - Epoch 8: loss =  31926.56445
INFO 2024-04-09 17:02:44,373 - Epoch 9: loss =  31358.94141
INFO 2024-04-09 17:06:09,513 - Epoch 10: loss =  29177.16406
INFO 2024-04-09 17:06:09,857 - Model saved.
INFO 2024-04-09 17:09:34,930 - Epoch 11: loss =  30172.42773
INFO 2024-04-09 17:13:00,220 - Epoch 12: loss =  26163.52930
INFO 2024-04-09 17:16:25,326 - Epoch 13: loss =  26872.37500
INFO 2024-04-09 17:19:50,357 - Epoch 14: loss =  21521.41797
INFO 2024-04-09 17:31:17,357 - device: cuda
INFO 2024-04-09 17:34:15,251 - Epoch 1: loss =  292236.78125
INFO 2024-04-09 18:32:03,459 - device: cuda
INFO 2024-04-09 18:35:01,289 - Epoch 1: loss =  292236.78125
INFO 2024-04-09 18:37:59,108 - Epoch 2: loss =  350179.81250
INFO 2024-04-09 18:40:56,947 - Epoch 3: loss =  333070.90625
INFO 2024-04-09 18:43:54,757 - Epoch 4: loss =  346923.71875
INFO 2024-04-09 18:46:52,485 - Epoch 5: loss =  248882.10938
INFO 2024-04-09 18:46:52,840 - Model saved.
INFO 2024-04-09 18:49:50,700 - Epoch 6: loss =  254613.28125
INFO 2024-04-09 18:52:48,204 - Epoch 7: loss =  251610.04688
INFO 2024-04-09 18:55:45,737 - Epoch 8: loss =  211976.18750
INFO 2024-04-09 18:58:43,316 - Epoch 9: loss =  155398.03125
INFO 2024-04-09 19:01:41,014 - Epoch 10: loss =  124484.60156
INFO 2024-04-09 19:01:41,399 - Model saved.
INFO 2024-04-09 19:04:39,331 - Epoch 11: loss =  111674.28906
INFO 2024-04-09 19:07:37,291 - Epoch 12: loss =  80911.06250
INFO 2024-04-09 19:10:35,255 - Epoch 13: loss =  59622.64844
INFO 2024-04-09 19:13:33,200 - Epoch 14: loss =  47500.32422
INFO 2024-04-09 19:16:31,375 - Epoch 15: loss =  46877.15625
INFO 2024-04-09 19:16:31,723 - Model saved.
INFO 2024-04-09 19:19:29,777 - Epoch 16: loss =  43441.57812
INFO 2024-04-09 19:22:27,954 - Epoch 17: loss =  42327.13281
INFO 2024-04-09 19:25:25,989 - Epoch 18: loss =  33087.31250
INFO 2024-04-09 19:28:24,117 - Epoch 19: loss =  34761.10156
INFO 2024-04-09 19:31:22,251 - Epoch 20: loss =  30629.02344
INFO 2024-04-09 19:31:22,595 - Model saved.
INFO 2024-04-09 19:34:20,563 - Epoch 21: loss =  34220.91797
